,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
gene_487,1,5,3,1,4,1,2,3,0,0,1,1,4,0,2,0,5,0,3,12,0,0,2,2,4,7,2,1,7,4
gene_488,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0
gene_489,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_490,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
gene_491,2,2,0,1,2,0,0,2,4,0,0,0,1,1,0,0,2,0,0,7,0,0,0,0,0,4,2,1,1,0
gene_492,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
gene_493,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
gene_494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gene_495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
gene_496,0,3,2,2,2,1,1,0,1,0,0,3,1,0,5,1,1,3,3,7,1,0,0,3,1,4,0,0,2,2
gene_497,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,2,1,1,1,1,1,0,0,0,0,2,0,0,0,0
gene_498,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_499,3,0,0,3,1,0,2,2,1,1,0,1,1,1,1,0,1,3,2,1,0,1,1,1,1,0,1,1,3,0
