,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
peak_106,0,2,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,7,0,1,0,2,2,4,0,0,2,0
peak_107,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peak_108,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
peak_109,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,2,2,1,1,0
peak_110,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,4,4,0,2,0,0,0,0,0,0,0
peak_111,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,2,0,2,6,1,0,0,0
peak_112,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
peak_113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
peak_114,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
peak_115,2,5,0,0,0,0,0,0,0,2,0,4,2,2,0,0,6,0,0,2,4,0,0,0,0,2,0,2,0,0
peak_116,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
peak_117,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
peak_118,0,5,0,0,0,0,0,0,0,1,0,0,10,2,0,2,2,2,5,0,0,0,0,0,0,0,0,2,0,2
peak_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
peak_120,2,4,0,0,0,0,2,0,0,0,0,2,6,2,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,2
peak_121,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,2,0,0,0,2,0,0,0,2,0,2
peak_122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,2,0,2,0,0,0,0,0,2
peak_123,0,4,0,0,0,0,2,0,0,0,2,0,2,2,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2
peak_124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,2,0,0
peak_125,0,6,0,0,0,0,0,2,0,2,0,0,2,2,0,0,2,0,0,2,0,2,0,4,0,2,0,0,0,2
peak_126,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0
peak_127,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,0,2,0,0,2,0,1,2,2,1,2,0,0,0,6
